flt_nm,ph,mag,mag_e,hjd_2450000,processing
810,0.0004537204349617241,18.729,0.033,6296.74112,raw
810,0.002961313557534595,18.806,0.04,6628.71806,raw
810,0.007730577022812213,18.712,0.05,5287.4899,raw
810,0.008254403568571433,18.783,0.044,7302.82815,raw
810,0.00851653346171588,18.751875000000002,0.040399566829361855,NaN,raw
810,0.009446522508369526,18.78,0.036,5444.90951,raw
810,0.010761425601685914,18.747125,0.045398041178637175,NaN,raw
810,0.010845021228305995,18.685,0.034,6373.55272,raw
810,0.012814609041470248,18.7425,0.040121244817606976,NaN,raw
810,0.013618387398310006,18.763,0.04,6167.8948,raw
810,0.014439810438943823,18.75175,0.040612278227861315,NaN,raw
810,0.014822321974861552,18.757,0.036,5912.72522,raw
810,0.016678203978699457,18.74725,0.03859959289200649,NaN,raw
810,0.018412857554721995,18.691,0.046,5994.61052,raw
810,0.018942099600280926,18.746000000000002,0.03753474580781381,NaN,raw
810,0.019386781075809267,18.769,0.036,6221.85239,raw
810,0.02073218820260081,18.786,0.044,5561.71106,raw
810,0.021051446698265863,18.74275,0.04411915683691222,NaN,raw
810,0.02323050605082244,18.74225,0.04387889176879006,NaN,raw
810,0.024303245510841582,18.74418678688069,0.029076131959753393,NaN,raw
810,0.024303245510841585,18.744186786880693,0.029812353075219615,NaN,raw
810,0.024303245510841585,18.74418678688069,0.0294373399950559,NaN,raw
810,0.025290306246688488,18.73775,0.04399594137125488,NaN,raw
810,0.026161551886616508,18.747,0.031,5940.66151,raw
810,0.02707176943522427,18.735500000000002,0.04708047821094732,NaN,raw
810,0.027557687481021276,18.77,0.033,5926.69785,raw
810,0.027719798012185493,18.659,0.044,6022.54552,raw
810,0.02884090497627767,18.737000000000002,0.04847090438013952,NaN,raw
810,0.03105086221876263,18.759,0.039,7124.47728,raw
810,0.03130072354178992,18.721,0.04,5495.70355,raw
810,0.03150702455263854,18.735999999999997,0.04738595331349357,NaN,raw
550,0.03258705248845217,19.45,0.018,5898.77195,raw
550,0.03258705248845217,19.45,NaN,NaN,raw
810,0.032664563063008245,18.673,0.046,5294.488,raw
810,0.03350609910210263,18.738222560975608,0.048382107466005075,NaN,raw
