#band: central wavelength of the passband of the observation in nm
#mjd: time of the observation as modified julian date in days
#fluxcal: simulated observed flux (from SNANA)
#fluxcalerr: error of fluxcal
#processing: which processing was done to get the datapoint
band,mjd,fluxcal,fluxcalerr,processing
473,56949.323,102.93533,3.2310436,raw
473,56956.338,130.7525,6.820708,raw
473,56960.271,140.43095,5.690836,raw
473,56966.353,155.40335,26.316393,raw
473,56973.315,159.32709,8.979596,raw
473,56980.317,137.15575,3.488835,raw
473,56988.029,103.83976,5.5731325,raw
473,56991.151,106.123695,11.541537,raw
473,56992.136,114.453835,10.213356,raw
473,57001.302,106.25679,24.776829,raw
473,57008.111,68.93363,3.526678,raw
473,57012.082,56.229935,3.4126492,raw
473,57018.071,49.695072,7.9609933,raw
473,57019.07,43.310207,7.9797807,raw
473,57033.161,31.021105,6.669328,raw
473,57040.175,22.99605,3.4108894,raw
473,57047.086,16.538157,4.073462,raw
784,56949.328,69.26887,5.540561,raw
784,56956.342,95.51355,9.451566,raw
784,56960.276,112.04762,10.002201,raw
784,56966.357,151.69435,17.997095,raw
784,56973.319,132.98943,7.584182,raw
784,56980.321,108.54762,6.5638747,raw
784,56988.034,114.14618,7.6315165,raw
784,56991.156,115.04495,14.393528,raw
784,56992.141,99.45691,7.6432643,raw
784,57001.306,90.328926,18.519411,raw
784,57008.115,100.408615,6.493161,raw
784,57012.086,106.14726,6.2634873,raw
784,57018.075,99.427864,11.409794,raw
784,57019.075,96.39612,8.14149,raw
784,57026.171,60.479023,11.666129,raw
784,57033.166,65.19605,8.622261,raw
784,57040.179,54.295948,6.643295,raw
784,57047.091,30.88463,6.6510553,raw
642,56949.326,98.1882,4.649771,raw
642,56956.34,118.4998,8.063027,raw
642,56960.273,139.56053,7.1624427,raw
642,56966.355,109.076195,24.981382,raw
642,56973.317,167.18214,7.258752,raw
642,56980.319,148.57294,5.089734,raw
642,56988.032,135.48602,5.770393,raw
642,56991.154,107.37169,12.729098,raw
642,56992.139,121.30976,8.152962,raw
642,57001.304,105.12013,20.875156,raw
642,57008.113,73.35868,4.8306036,raw
642,57012.084,92.98047,5.097698,raw
642,57018.073,90.894875,8.490724,raw
642,57019.072,65.376595,7.5910277,raw
642,57033.164,57.66314,6.3248477,raw
642,57040.177,45.9215,4.741141,raw
642,57047.089,40.034492,5.058001,raw
926,56949.33,74.713104,6.3110385,raw
926,56956.345,120.64086,10.116932,raw
926,56960.278,82.85998,12.337561,raw
926,56966.36,117.69961,16.439554,raw
926,56973.322,109.80326,8.53874,raw
926,56980.324,120.53252,7.4633136,raw
926,56988.036,109.896065,9.589936,raw
926,56991.158,124.05313,16.713667,raw
926,56992.143,108.41694,7.948691,raw
926,57001.309,114.63034,19.348457,raw
926,57008.118,107.9556,7.188447,raw
926,57012.089,98.56379,7.2793927,raw
926,57018.078,84.48655,12.160993,raw
926,57019.077,100.06106,9.512364,raw
926,57026.173,96.858086,10.620619,raw
926,57033.169,68.74465,10.652213,raw
926,57040.182,62.051434,7.8599806,raw
926,57047.093,70.41638,8.211206,raw
473,56949.323,103.7688270418624,3.144049755752538,gp
473,56950.310505050504,107.21932671625892,3.022126547055181,gp
473,56951.298010101,110.7419389069143,3.1682579555138526,gp
473,56952.28551515151,114.30092473801176,3.4084205897250226,gp
473,56953.27302020202,117.86054027560236,3.63335232214799,gp
473,56954.260525252525,121.38498318719412,3.797904488288994,gp
473,56955.248030303024,124.8383393167391,3.898614923021156,gp
473,56956.23553535353,128.1845291169197,3.9589151388689796,gp
473,56957.22304040404,131.3900732425166,4.014879078628421,gp
473,56958.210545454545,134.43664999945807,4.0858968482446265,gp
473,56959.198050505045,137.31088945123955,4.191819221304215,gp
473,56960.18555555555,139.99910800805168,4.360658397392219,gp
473,56961.17306060606,142.48768397023812,4.6129474455859265,gp
473,56962.160565656566,144.76471792420588,4.920369169010205,gp
473,56963.148070707066,146.8186054305906,5.24163772924591,gp
473,56964.13557575757,148.63734580668526,5.543341919296736,gp
473,56965.12308080808,150.20852343112742,5.801344185637478,gp
473,56966.11058585859,151.51928891399692,5.999812006135653,gp
473,56967.09809090909,152.5565225136328,6.129430674071577,gp
473,56968.085595959594,153.30819875630363,6.183823500071128,gp
473,56969.0731010101,153.76259845249962,6.160241652491117,gp
473,56970.0606060606,153.907500894473,6.060717942401507,gp
473,56971.04811111111,153.7301597217071,5.892038786509886,gp
473,56972.035616161615,153.21728448288755,5.665741109156638,gp
473,56973.02312121212,152.35502158125965,5.397927803510787,gp
473,56974.01062626262,151.1315205355579,5.106565420014967,gp
473,56974.99813131313,149.5606210449539,4.793061678149904,gp
473,56975.985636363635,147.67090866708006,4.45235903309502,gp
473,56976.97314141414,145.4906230904001,4.088876171103424,gp
473,56977.96064646464,143.04750877396208,3.722353528425043,gp
473,56978.94815151515,140.3688560481735,3.394150476214046,gp
473,56979.935656565656,137.48154169790007,3.1700156800067556,gp
473,56980.92316161616,134.41337311445758,3.1207645734810288,gp
473,56981.91066666666,131.21030996136452,3.2248806250746544,gp
473,56982.89817171717,127.93176759934683,3.394738928160325,gp
473,56983.88567676768,124.63730926151021,3.5626870216901656,gp
473,56984.873181818184,121.38640887365848,3.693455594566863,gp
473,56985.860686868684,118.2385384438223,3.7809881493935285,gp
473,56986.84819191919,115.25325542627364,3.843679171200845,gp
473,56987.8356969697,112.49029015542787,3.9196879218151066,gp
473,56988.8232020202,109.99848552608044,4.053372747852224,gp
473,56989.810707070705,107.74573441956471,4.25073150790271,gp
473,56990.79821212121,105.66421952830817,4.501367795211745,gp
473,56991.78571717172,103.68634502004839,4.798834820078487,gp
473,56992.77322222222,101.74945267047639,5.130396266215276,gp
473,56993.760727272725,99.82290539093908,5.46746164620235,gp
473,56994.74823232323,97.89678522790585,5.778057715429049,gp
473,56995.73573737374,95.96152381171414,6.037081648830101,gp
473,56996.72324242424,94.00748880921095,6.2261210383267125,gp
473,56997.710747474746,92.02497105109893,6.332533647705456,gp
473,56998.69825252525,90.00417155854548,6.348587554771034,gp
473,56999.68575757576,87.93518845503172,6.270840700686925,gp
473,57000.67326262626,85.80800374991176,6.099774663698007,gp
473,57001.66076767677,83.6126094487496,5.839614504431264,gp
473,57002.648272727274,81.3456670980374,5.4965965189116,gp
473,57003.63577777778,79.0134417222118,5.078854217024456,gp
473,57004.62328282828,76.62281276970346,4.600537741463354,gp
473,57005.61078787879,74.18053455412947,4.084799528959397,gp
473,57006.598292929295,71.69324722528506,3.56822287093636,gp
473,57007.5857979798,69.16748760228242,3.1065331218016206,gp
473,57008.5733030303,66.61045725879774,2.7733819411551113,gp
473,57009.56080808081,64.04960899776268,2.592138439565144,gp
