#band: central wavelength of the passband of the observation in nm
#mjd: time of the observation as modified julian date in days
#fluxcal: simulated observed flux (from SNANA)
#fluxcalerr: error of fluxcal
#processing: which processing was done to get the datapoint
band,mjd,fluxcal,fluxcalerr,processing
971.2,61036.3438,10664.293,875.365,raw
971.2,61039.1992,9611.453,830.7471,raw
971.2,61039.1996,9095.558,850.4185,raw
971.2,61039.2219,9328.454,840.0038,raw
971.2,61039.2223,9425.161,859.24457,raw
971.2,61041.3161,10443.665,814.2461,raw
971.2,61045.3262,9377.081,1095.7094,raw
971.2,61046.3098,13501.056,859.33215,raw
971.2,61046.3103,12059.634,836.1083,raw
971.2,61047.3104,13014.319,889.7083,raw
971.2,61065.1768,12496.301,1250.8733,raw
971.2,61065.265,12647.307,737.0579,raw
971.2,61066.1258,12575.332,902.9249,raw
971.2,61069.2432,10164.395,821.5361,raw
971.2,61069.2442,11750.644,767.7578,raw
971.2,61069.2664,12388.013,884.0688,raw
971.2,61069.2673,10735.411,856.2233,raw
971.2,61073.2554,7933.7075,1147.5348,raw
971.2,61093.1693,4967.0923,773.95715,raw
971.2,61093.192,5034.375,832.6956,raw
971.2,61097.1102,6202.1084,775.43396,raw
971.2,61100.1769,5150.1616,1006.4393,raw
971.2,61101.1083,5042.6396,1218.7645,raw
971.2,61102.1636,3808.4512,1130.3936,raw
971.2,61102.1672,6054.997,1227.9357,raw
971.2,61102.1863,6601.016,1602.418,raw
971.2,61102.1899,4290.716,1268.28,raw
971.2,61102.204,4618.6055,1348.6503,raw
971.2,61102.2269,4515.5693,1433.0907,raw
482.7,61030.2659,2053.3604,161.55843,raw
482.7,61030.2663,2008.1252,173.16707,raw
482.7,61035.2686,4687.248,218.23802,raw
482.7,61048.121,5006.85,180.27356,raw
482.7,61053.2197,3671.797,143.79509,raw
482.7,61057.2814,2812.1697,147.28693,raw
482.7,61090.1784,476.55643,141.83684,raw
482.7,61092.1655,541.3989,148.61613,raw
754.6,61031.3477,6140.9194,293.12442,raw
754.6,61046.2458,20620.502,461.40146,raw
754.6,61046.2462,20184.54,440.7374,raw
754.6,61047.3239,20566.674,423.99384,raw
754.6,61051.2278,19068.105,430.35526,raw
754.6,61051.2385,18456.477,402.50067,raw
754.6,61051.3224,18982.723,347.20413,raw
754.6,61056.3085,15399.473,342.3611,raw
754.6,61060.2995,12526.581,353.32547,raw
754.6,61061.2198,13017.283,268.1049,raw
754.6,61076.137,5266.991,442.32434,raw
754.6,61076.155,5136.9097,451.00702,raw
754.6,61076.2311,5316.595,445.67096,raw
754.6,61082.2574,4581.248,245.42514,raw
754.6,61088.2072,3547.3716,322.8582,raw
754.6,61090.237,2891.208,275.9759,raw
754.6,61105.028,1624.3503,370.4534,raw
754.6,61105.1842,1710.2988,433.25653,raw
754.6,61105.1847,2161.334,431.924,raw
754.6,61106.1871,1814.2683,368.0193,raw
622.3,61030.2901,4085.8242,204.97441,raw
622.3,61030.2906,4030.176,194.94853,raw
622.3,61048.1451,14278.809,282.8092,raw
622.3,61051.2034,12945.673,255.86116,raw
622.3,61051.2998,12530.724,310.616,raw
622.3,61056.2845,9412.257,233.92346,raw
622.3,61057.3056,8920.7,210.97046,raw
622.3,61060.2748,7100.8276,213.36725,raw
622.3,61061.1955,6475.6284,186.63432,raw
622.3,61076.1125,3542.2612,364.69934,raw
622.3,61079.2467,2899.6172,289.21463,raw
622.3,61082.2326,2888.774,190.69981,raw
622.3,61088.1831,2066.2756,173.44473,raw
622.3,61090.2024,1982.3428,183.52805,raw
622.3,61090.2129,2016.9059,191.56284,raw
869.1,61036.3323,9969.074,507.3061,raw
869.1,61041.3048,14244.252,465.157,raw
869.1,61045.3148,18713.95,707.2089,raw
869.1,61046.2699,18122.072,513.05176,raw
869.1,61046.2704,18431.074,497.9311,raw
869.1,61046.2885,18626.387,564.70294,raw
869.1,61046.289,18898.643,548.4092,raw
869.1,61047.2886,17520.773,476.90552,raw
869.1,61047.3356,18099.61,508.64264,raw
869.1,61051.263,20120.578,487.11682,raw
869.1,61065.1525,15778.8125,680.718,raw
869.1,61065.2407,14171.231,374.0477,raw
869.1,61066.1018,14173.0205,447.19864,raw
869.1,61073.2307,9316.69,824.60486,raw
869.1,61076.1797,8155.2866,490.4022,raw
869.1,61076.2559,7888.417,618.5233,raw
869.1,61097.0857,2931.1934,416.06473,raw
869.1,61100.2013,3635.417,835.7386,raw
869.1,61101.084,3261.624,821.7403,raw
869.1,61105.0519,2479.7944,524.0441,raw
869.1,61105.1599,3183.5105,543.0041,raw
869.1,61105.1604,2962.834,545.322,raw
869.1,61106.1631,2251.6926,462.92972,raw
971.2,61036.3438,9436.985996101088,587.5845090213243,gp
971.2,61037.009285858585,9500.166754396841,503.28271985957076,gp
971.2,61037.674771717175,9567.623662310027,434.0139776004885,gp
971.2,61038.34025757576,9647.056453608355,381.52867782886324,gp
971.2,61039.00574343435,9746.17720589045,348.9620856520217,gp
971.2,61039.67122929293,9872.084572199265,338.88401131833757,gp
971.2,61040.33671515152,10025.168717068016,346.06758996887584,gp
971.2,61041.0022010101,10201.79207228764,361.59940009504385,gp
971.2,61041.66768686869,10398.31743221043,379.2087825710656,gp
971.2,61042.333172727274,10611.692938171633,394.4043567123479,gp
971.2,61042.998658585864,10839.40752857529,404.0865796376056,gp
971.2,61043.66414444445,11078.985149697517,407.4889329789803,gp
971.2,61044.32963030303,11327.961257926736,406.11121002637395,gp
971.2,61044.99511616162,11583.879116174496,403.80213934841487,gp
971.2,61045.6606020202,11844.082353023434,406.6952017005046,gp
971.2,61046.32608787879,12101.2825435005,421.63386739612724,gp
971.2,61046.991573737374,12345.222873038292,453.36591576059834,gp
971.2,61047.657059595964,12571.617639264703,501.0335352382298,gp
971.2,61048.322545454546,12779.287739793423,560.4418484357224,gp
971.2,61048.988031313136,12968.6479260334,626.3741292128782,gp
971.2,61049.65351717172,13140.143647938949,694.6391362967403,gp
971.2,61050.31900303031,13294.187593219413,762.113627520418,gp
971.2,61050.98448888889,13431.16019601374,826.4993180335225,gp
971.2,61051.64997474747,13551.410107990363,886.0910105155597,gp
971.2,61052.31546060606,13655.254632261222,939.6072255977598,gp
971.2,61052.980946464646,13742.980120624994,986.0761848462143,gp
971.2,61053.646432323236,13814.842334527273,1024.7608138357027,gp
971.2,61054.31191818182,13871.066770094343,1055.1095293347782,gp
971.2,61054.97740404041,13911.848947599856,1076.7239280100446,gp
971.2,61055.64288989899,13937.35466565339,1089.3377898851043,gp
971.2,61056.30837575758,13947.720220386593,1092.8039904101593,gp
971.2,61056.97386161616,13943.052589854953,1087.087320148491,gp
971.2,61057.63934747475,13923.429583861978,1072.2621474345744,gp
971.2,61058.304833333335,13888.899959363758,1048.5145459030743,gp
971.2,61058.97031919192,13839.483501575909,1016.1491031826203,gp
971.2,61059.63580505051,13775.171070882956,975.6012607934061,gp
971.2,61060.30129090909,13695.924615600527,927.4568456978938,gp
971.2,61060.96677676768,13601.67715061691,872.4816111660806,gp
971.2,61061.63226262626,13492.33270190953,811.6653194342946,gp
971.2,61062.29774848485,13367.766216870783,746.2873424510008,gp
971.2,61062.963234343435,13227.823440390088,678.0136329021933,gp
971.2,61063.628720202025,13072.320756556916,609.0358133566706,gp
971.2,61064.29420606061,12901.044995858034,542.2521960025008,gp
971.2,61064.9596919192,12713.753207648646,481.43707268991807,gp
971.2,61065.62517777778,12510.153739971687,430.9996257883335,gp
971.2,61066.29066363636,12289.763249121374,392.67258824989165,gp
971.2,61066.95614949495,12052.43040331157,365.14097102142625,gp
971.2,61067.621635353535,11798.827661045434,346.6553654225062,gp
971.2,61068.287121212124,11529.69636914062,337.88535724163114,gp
971.2,61068.95260707071,11245.749119042664,342.6224229000207,gp
971.2,61069.6180929293,10947.758467173287,366.0223709487716,gp
971.2,61070.28357878788,10638.392223956986,407.0364298591944,gp
971.2,61070.94906464647,10322.155140292994,459.51177252652695,gp
971.2,61071.61455050505,10003.611670254557,518.7928708301765,gp
971.2,61072.28003636364,9687.317482933968,582.2633572692938,gp
