flt,mjd,fluxcal,fluxcalerr,processing
Y,60923.3497,7777.8535,782.72266,raw
Y,60923.3506,6127.566,772.126,raw
Y,60924.3459,7560.724,822.18146,raw
Y,60924.3671,6763.879,792.2356,raw
Y,60947.3097,15503.201,792.0008,raw
Y,60950.2335,12457.382,778.06464,raw
Y,60950.2519,11272.216,735.469,raw
Y,60950.2747,11327.95,957.3639,raw
Y,60957.2008,10569.152,1061.3297,raw
Y,60977.177,6285.1924,907.21234,raw
Y,60979.175,5134.297,897.6901,raw
Y,60979.1979,5343.3247,798.00116,raw
Y,60981.2325,5727.319,967.9944,raw
Y,60986.2423,4461.582,1122.538,raw
g,60934.2848,4483.7266,134.32143,raw
g,60934.3055,4248.242,111.64391,raw
g,60936.3045,4137.4775,139.51695,raw
g,60937.237,3868.1995,108.23116,raw
g,60962.1901,529.721,109.786,raw
g,60963.1639,699.8942,118.59023,raw
g,60964.1838,418.49792,104.09398,raw
g,60974.1549,654.05,98.30238,raw
g,60976.1858,654.1011,123.728004,raw
i,60918.4084,2457.3696,307.99643,raw
i,60919.3668,3917.604,258.92056,raw
i,60932.3035,12394.405,348.48663,raw
i,60940.3684,13130.414,305.33856,raw
i,60951.2495,9712.324,333.12726,raw
i,60958.205,8103.3687,368.64627,raw
i,60960.2294,7046.1226,342.95316,raw
i,60962.2718,6354.649,243.81747,raw
i,60962.2732,7002.057,250.06683,raw
i,60970.2564,5149.3125,399.13852,raw
i,60973.1923,4598.477,213.73743,raw
i,60986.1798,3607.065,330.49722,raw
i,60989.2201,3809.0117,342.03082,raw
i,60995.1904,3373.9375,419.08072,raw
i,61006.0264,3296.7305,291.6388,raw
i,61007.0346,2739.9937,220.11015,raw
i,61012.0601,2211.5312,486.6437,raw
i,61015.0687,3389.4702,476.29236,raw
i,61015.0712,2783.7175,628.87225,raw
i,61030.0573,1874.6288,316.6538,raw
i,61035.0482,2120.6833,226.46208,raw
i,61040.0584,1914.9608,560.9826,raw
r,60918.3989,2834.8438,198.41026,raw
r,60932.2793,9934.048,213.80339,raw
r,60934.3099,10030.326,178.31091,raw
r,60936.3288,9926.454,179.50565,raw
r,60937.2611,9861.297,221.11174,raw
r,60940.326,9018.016,221.39096,raw
r,60940.3428,8399.057,240.17833,raw
r,60960.2051,2600.084,234.7486,raw
r,60962.2139,2794.4434,127.48979,raw
r,60962.2476,2573.6494,131.23796,raw
r,60962.249,2484.9207,131.41216,raw
r,60963.1884,2181.6482,176.06808,raw
r,60963.2094,2606.1382,178.38857,raw
r,60965.2663,2131.9473,185.44707,raw
r,60970.2319,2520.5535,289.96918,raw
r,60970.2323,1846.0798,288.92596,raw
r,60973.1685,1831.8215,147.89081,raw
r,60974.1794,1850.6953,142.94278,raw
r,60995.1666,1664.5764,175.17964,raw
r,61004.1105,1423.5422,175.38042,raw
r,61004.1505,1434.3263,159.45563,raw
r,61024.0804,669.32574,137.28787,raw
r,61025.1855,965.87427,219.54341,raw
r,61030.0432,784.9858,225.66434,raw
r,61035.0346,699.885,197.41277,raw
z,60921.3234,6006.305,518.4301,raw
z,60923.3255,6765.55,661.2794,raw
z,60923.3265,6780.6094,655.2447,raw
z,60947.2858,14421.8545,435.72467,raw
z,60950.2094,12389.101,370.0682,raw
z,60957.225,10221.156,767.4054,raw
z,60958.2295,9435.41,537.1885,raw
z,60958.2527,9679.275,575.1996,raw
z,60977.132,6046.0186,401.85907,raw
z,60986.2037,4697.623,455.5158,raw
z,60986.2186,3915.7568,635.3525,raw
z,60989.2439,4418.337,357.6919,raw
z,61006.0396,3029.9155,428.0232,raw
z,61007.0215,3502.026,520.59174,raw
z,61012.0844,3348.051,530.066,raw
z,61012.1068,3155.531,685.06213,raw
z,61015.0929,2632.1035,599.9004,raw
z,61040.0449,2820.372,631.40955,raw
z,61044.0783,2859.8025,863.7984,raw
Y,60923.3497,6861.723259434942,450.1550742534535,gp
Y,60923.98497878788,7108.832080741173,402.5567829438379,gp
Y,60924.620257575756,7370.543821432775,516.7163591514571,gp
Y,60925.255536363635,7650.282874048424,716.8850169968198,gp
Y,60925.89081515151,7946.694416240087,942.4026389286406,gp
Y,60926.52609393939,8258.086239144368,1170.97263742159,gp
Y,60927.16137272727,8582.794199796195,1393.8562198679194,gp
Y,60927.79665151515,8919.17416855256,1606.8111177897879,gp
Y,60928.43193030303,9265.594002937918,1807.3822854946852,gp
Y,60929.06720909091,9620.425521938385,1993.9651881279003,gp
Y,60929.702487878785,9982.036454909687,2165.42634715361,gp
Y,60930.337766666664,10348.782339155723,2320.927154584682,gp
Y,60930.97304545454,10718.998339868906,2459.8321806649456,gp
Y,60931.60832424242,11090.99096602403,2581.6567703247433,gp
Y,60932.2436030303,11463.029655486444,2686.0348116386913,gp
Y,60932.87888181818,11833.338202003764,2772.6978503388764,gp
Y,60933.51416060606,12200.08599643497,2841.461167882465,gp
Y,60934.149439393936,12561.37905400663,2892.2145161450794,gp
Y,60934.784718181814,12915.250798563582,2924.9162438443814,gp
Y,60935.41999696969,13259.652574232767,2939.590112233307,gp
Y,60936.05527575757,13592.443854105519,2936.324427164839,gp
Y,60936.69055454545,13911.382114483455,2915.273329503827,gp
Y,60937.32583333333,14214.112342426335,2876.660247634117,gp
Y,60937.96111212121,14498.156143255826,2820.783661093654,gp
Y,60938.596390909086,14760.900413362428,2748.025480550321,gp
Y,60939.23166969697,14999.585542564182,2658.862543635058,gp
Y,60939.86694848485,15211.293108862925,2553.881994106785,gp
Y,60940.50222727273,15392.93302694675,2433.8017079123747,gp
Y,60941.13750606061,15541.230110239216,2299.497544938138,gp
Y,60941.77278484849,15652.710004650471,2152.0401993270384,gp
Y,60942.408063636365,15723.684450394725,1992.7460831411545,gp
Y,60943.043342424244,15750.235826261762,1823.2495405685763,gp
Y,60943.67862121212,15728.20092878746,1645.6087345427532,gp
Y,60944.3139,15653.153936551562,1462.466512571966,gp
Y,60944.94917878788,15520.388507537045,1277.3030349509131,gp
Y,60945.58445757576,15324.898955079441,1094.8400665305692,gp
Y,60946.21973636364,15061.360445280727,921.6709915433372,gp
Y,60946.855015151516,14724.108156105112,767.082388566905,gp
Y,60947.490293939394,14307.276766733965,643.2317407042561,gp
Y,60948.12557272727,13818.859822925655,553.8675831511036,gp
Y,60948.76085151515,13291.695145796877,487.0460427186783,gp
Y,60949.39613030303,12760.982523809842,438.6510804643788,gp
Y,60950.03140909091,12261.852395427526,423.2596091243881,gp
Y,60950.66668787879,11827.686207388682,465.63502222333585,gp
Y,60951.301966666666,11467.443865005547,552.2047078515878,gp
Y,60951.937245454545,11172.696383651042,650.1683070314845,gp
