mjd,fluxcal,flt,fluxcalerr,processing
61155.1366,4542.756,Y,945.5523,raw
61155.1851,5563.034,Y,950.7728,raw
61164.1354,3388.4465,Y,909.4966,raw
61166.2006,4797.486,Y,1529.8347,raw
61181.0078,3904.4958,Y,1089.4462,raw
61191.0547,5553.2734,Y,1283.1465,raw
61140.1458,3310.2012,g,213.7519,raw
61148.1351,3359.868,g,212.56963,raw
61170.0688,1168.3949,g,207.11485,raw
61170.0692,1470.8549,g,208.87369,raw
61172.1001,858.36255,g,237.15709,raw
61175.0833,1275.5175,g,217.44116,raw
61136.1766,2814.434,i,530.3884,raw
61145.1649,3654.777,i,344.2181,raw
61145.1653,3961.117,i,351.49835,raw
61147.2894,3591.3196,i,550.26117,raw
61154.1147,4049.712,i,346.84854,raw
61164.0634,3915.1848,i,456.49847,raw
61164.0638,3642.0715,i,437.06482,raw
61164.0853,3897.3972,i,535.675,raw
61164.0862,3213.7676,i,520.3408,raw
61169.1518,3685.7244,i,326.47507,raw
61170.1745,3537.9893,i,374.96173,raw
61176.056,2752.184,i,425.0247,raw
61176.0565,4268.164,i,429.41296,raw
61179.0588,3439.0972,i,397.03812,raw
61179.0592,3209.934,i,394.06958,raw
61181.1479,3227.7227,i,398.0519,raw
61190.9872,4529.8613,i,891.66565,raw
61191.9843,2819.9202,i,649.3095,raw
61223.9795,2075.4485,i,418.82462,raw
61223.9804,2780.705,i,421.77936,raw
61224.9664,1758.9612,i,431.40692,raw
61224.9668,2048.639,i,436.66672,raw
61224.9772,1756.2897,i,390.57977,raw
61224.9785,2139.284,i,402.54327,raw
61225.9768,2044.9421,i,378.02707,raw
61140.1696,3763.5454,r,272.01056,raw
61140.1924,3547.645,r,267.8008,raw
61145.1412,4756.1514,r,297.86954,raw
61145.1416,4465.0425,r,299.03833,raw
61147.2657,4770.0854,r,342.75333,raw
61148.1589,4095.9973,r,276.397,raw
61148.1849,4136.8413,r,266.8866,raw
61154.1386,4360.6875,r,264.9441,raw
61169.1281,3387.1846,r,248.15175,raw
61170.0926,2995.2449,r,250.8266,raw
61170.093,3049.4578,r,254.4873,raw
61176.0323,2988.2422,r,322.87518,raw
61176.0327,3063.3367,r,327.87717,raw
61177.0849,2541.85,r,317.95267,raw
61178.1812,3035.5728,r,390.85162,raw
61179.0351,2699.6816,r,343.05637,raw
61179.0355,2417.1846,r,335.49893,raw
61181.1242,2563.094,r,262.44092,raw
61181.1246,2826.2432,r,271.4833,raw
61224.9555,1019.97876,r,338.43768,raw
61136.2005,2893.4353,z,643.9257,raw
61139.1938,3145.9792,z,580.808,raw
61139.1942,3150.2583,z,584.6279,raw
61155.1613,5089.291,z,489.30078,raw
61164.0396,4901.2197,z,649.23737,raw
61164.0401,5650.272,z,617.3497,raw
61164.109,4718.6675,z,511.42325,raw
61164.1099,4991.6787,z,503.35046,raw
61164.1117,4245.9575,z,505.6269,raw
61164.1332,5145.5015,z,592.4496,raw
61166.1755,5129.334,z,621.6935,raw
61166.1769,4790.7036,z,648.6849,raw
61183.0387,4706.3745,z,629.0103,raw
61189.0804,5478.317,z,954.73975,raw
61190.107,5270.567,z,1095.3611,raw
61191.0109,4079.6943,z,1173.383,raw
61191.031,3633.5862,z,752.1815,raw
61191.0315,5877.353,z,758.21216,raw
61192.0081,4946.298,z,652.5863,raw
61224.0033,3162.5308,z,523.9243,raw
61224.0042,3583.4363,z,529.44226,raw
61225.0009,4034.244,z,694.25543,raw
61225.0022,4516.8315,z,791.57697,raw
61226.0007,3809.1162,z,567.5543,raw
61155.1366,4512.46388807135,Y,545.229861393603,gp
61155.49940909091,4510.429525405308,Y,538.2817037719107,gp
61155.862218181814,4508.203853805977,Y,531.7189005935484,gp
61156.225027272725,4505.800078316997,Y,525.5380442477939,gp
61156.58783636364,4503.231388964469,Y,519.7352899669969,gp
61156.95064545454,4500.510955723722,Y,514.3063787629281,gp
61157.31345454545,4497.651929562908,Y,509.24666091786236,gp
61157.676263636364,4494.667443486569,Y,504.5511230041313,gp
61158.03907272727,4491.57061357668,Y,500.2144181589949,gp
61158.40188181818,4488.374540033469,Y,496.23089926595475,gp
61158.76469090909,4485.09230821518,Y,492.59465460912253,gp
61159.127499999995,4481.736989675941,Y,489.2995454999794,gp
61159.49030909091,4478.321643203508,Y,486.33924532278036,gp
61159.85311818182,4474.859315856115,Y,483.70727939956663,gp
61160.21592727272,4471.363043998132,Y,481.39706505128413,gp
61160.578736363634,4467.845854334277,Y,479.4019512223256,gp
61160.941545454545,4464.320764945214,Y,477.71525704442666,gp
61161.30435454546,4460.800786320417,Y,476.33030873463906,gp
61161.66716363636,4457.298922391125,Y,475.2404742641135,gp
61162.02997272727,4453.828171563074,Y,474.43919528196335,gp
61162.392781818184,4450.401527748855,Y,473.92001583936394,gp
61162.75559090909,4447.031981398934,Y,473.6766075274639,gp
61163.1184,4443.732520533297,Y,473.70279071703357,gp
61163.48120909091,4440.516131772686,Y,473.9925516638387,gp
61163.844018181815,4437.395801369181,Y,474.54005532141343,gp
61164.20682727273,4434.384495103513,Y,475.33964418344465,gp
61164.56963636364,4431.490516523396,Y,476.3837359504873,gp
61164.93244545454,4428.711673992544,Y,477.6601999385039,gp
61165.295254545454,4426.044343360685,Y,479.15653289294465,gp
61165.658063636365,4423.48490237848,Y,480.8605748589209,gp
61166.02087272727,4421.029730415794,Y,482.76056570215167,gp
61166.38368181818,4418.675253567686,Y,484.84513530744783,gp
61166.74649090909,4416.418920609607,Y,487.1020948868322,gp
61167.1093,4414.259190552897,Y,489.5184979149479,gp
61167.47210909091,4412.194566090099,Y,492.08192628264794,gp
61167.83491818182,4410.22355054173,Y,494.7805865945621,gp
61168.19772727272,4408.344647740814,Y,497.60334359400537,gp
61168.560536363635,4406.556361918023,Y,500.5397463311831,gp
61168.92334545455,4404.857197586582,Y,503.5800477294279,gp
61169.28615454545,4403.245659426667,Y,506.7152182167457,gp
61169.64896363636,4401.720252170093,Y,509.93695407875,gp
61170.01177272727,4400.279480484831,Y,513.237681167406,gp
61170.37458181818,4398.9218488592,Y,516.6105545630791,gp
61170.73739090909,4397.645861485888,Y,520.0494547421496,gp
61171.1002,4396.45002214608,Y,523.5489807523592,gp
61171.463009090905,4395.332834093297,Y,527.1044408462383,gp
61171.82581818182,4394.292799936929,Y,530.7118409703252,gp
61172.18862727273,4393.328421525762,Y,534.3678714525756,gp
61172.55143636363,4392.438199831385,Y,538.0698921827922,gp
61172.91424545454,4391.620634831121,Y,541.8159165338042,gp
61173.277054545455,4390.874225391046,Y,545.6045942241678,gp
61173.63986363637,4390.197469148736,Y,549.4351932867162,gp
61174.00267272727,4389.5888623957435,Y,553.3075812705578,gp
61174.36548181818,4389.046899959835,Y,557.2222057719998,gp
61174.72829090909,4388.5700750871265,Y,561.1800743623237,gp
61175.0911,4388.1568793239585,Y,565.1827339578649,gp
61175.45390909091,4387.805802398398,Y,569.2322496592151,gp
61175.81671818182,4387.5153321017115,Y,573.3311830671773,gp
61176.179527272725,4387.283954169425,Y,577.4825700740251,gp
61176.54233636364,4387.110152162182,Y,581.6898981199402,gp
61176.90514545455,4386.992407346363,Y,585.9570828940654,gp
61177.26795454545,4386.929198574391,Y,590.2884444637226,gp
61177.63076363636,4386.919002164778,Y,594.6886828079795,gp
61177.993572727275,4386.9602917818975,Y,599.1628527384379,gp
61178.35638181818,4387.0515383154225,Y,603.7163381946821,gp
61178.71919090909,4387.1912097595505,Y,608.354825904641,gp
61179.082,4387.377771091798,Y,613.084278412221,gp
61179.444809090906,4387.609684151601,Y,617.9109064846854,gp
61179.80761818182,4387.885407518526,Y,622.8411409198214,gp
61180.17042727273,4388.203396390161,Y,627.8816037891193,gp
61180.53323636363,4388.562102459654,Y,633.0390791657862,gp
61180.896045454545,4388.9599737930275,Y,638.3204833986306,gp
61181.25885454546,4389.395158565711,Y,643.7324439656006,gp
61181.62166363636,4389.86265638724,Y,649.2775114843962,gp
61181.98447272727,4390.355566835999,Y,654.95580218573,gp
61182.34728181818,4390.866958530975,Y,660.7674729073807,gp
61182.71009090909,4391.389894704398,Y,666.7127614832489,gp
61183.0729,4391.917432653179,Y,672.7919914052227,gp
61183.43570909091,4392.442623189749,Y,679.005575307214,gp
61183.798518181815,4392.958510092307,Y,685.354017331864,gp
61184.161327272726,4393.458129554765,Y,691.8379144422054,gp
61184.52413636364,4393.934509635799,Y,698.4579567341561,gp
61184.88694545454,4394.380669707554,Y,705.2149268169231,gp
61185.24975454545,4394.789619903533,Y,712.1096983172522,gp
61185.612563636365,4395.154360565817,Y,719.143233569993,gp
61185.97537272728,4395.467881691684,Y,726.3165805569781,gp
61186.33818181818,4395.723162379318,Y,733.630869147645,gp
61186.70099090909,4395.913170272882,Y,741.0873067057993,gp
61187.0638,4396.030861006693,Y,748.6871731118868,gp
61187.42660909091,4396.069177648567,Y,756.431815262607,gp
61187.78941818182,4396.021050142286,Y,764.3226410956697,gp
61188.15222727273,4395.879394749181,Y,772.3611131935605,gp
61188.515036363635,4395.637113488711,Y,780.5487420187385,gp
61188.877845454546,4395.287093578098,Y,788.8870788241331,gp
61189.24065454546,4394.8222068709965,Y,797.377708287423,gp
61189.60346363636,4394.235309295014,Y,806.0222409161888,gp
61189.96627272727,4393.5192402881985,Y,814.8223052618745,gp
61190.329081818185,4392.666822234487,Y,823.7795399857927,gp
61190.69189090909,4391.670859897946,Y,832.8955858167009,gp
61191.0547,4390.524139855716,Y,842.172077435679,gp
61140.1458,3335.1547855340214,g,200.8451833047668,gp
61140.4987040404,3340.5224660102385,g,194.5405508181147,gp
61140.851608080804,3345.4148188637873,g,189.67142102719805,gp
61141.204512121214,3349.791987804927,g,186.06105931036745,gp
61141.55741616162,3353.613833755234,g,183.51536574919874,gp
61141.91032020202,3356.8399206642434,g,181.83472392014767,gp
61142.26322424242,3359.4295012383654,g,180.82526636812673,gp
61142.616128282825,3361.3415025804616,g,180.30823102853742,gp
61142.96903232323,3362.534511733572,g,180.12679744723815,gp
61143.32193636364,3362.96676112754,g,180.1504309647253,gp
61143.67484040404,3362.5961139226674,g,180.27716414859978,gp
61144.027744444444,3361.380049248013,g,180.43439356985417,gp
61144.38064848485,3359.2756473295594,g,180.578736061269,gp
61144.73355252525,3356.2395745045033,g,180.69535685345514,gp
61145.08645656565,3352.228068118584,g,180.7970161660768,gp
61145.43936060606,3347.196921300607,g,180.92291632969685,gp
