flt_nm,mjd,fluxcal,fluxcalerr,processing
971.2,60780.3138,5345.538,1275.7045,raw
971.2,60780.3353,6158.634,1483.4227,raw
971.2,60780.3362,4809.5986,1452.8535,raw
971.2,60780.3609,4776.2266,1261.5232,raw
971.2,60809.3054,7392.5283,1523.4825,raw
971.2,60809.3537,9247.617,2021.1674,raw
482.7,60790.2007,10342.183,346.16327,raw
482.7,60790.2012,10551.012,339.5492,raw
482.7,60791.294,10238.602,198.69183,raw
482.7,60797.2092,7725.4946,247.61014,raw
482.7,60797.2114,8061.236,241.00516,raw
482.7,60825.1405,1663.6239,276.8764,raw
482.7,60827.2089,1493.7495,236.06537,raw
482.7,60876.0402,954.539,224.56293,raw
482.7,60913.9966,748.02527,171.17331,raw
482.7,60913.997,734.6613,176.25926,raw
482.7,60914.9939,617.1765,194.53078,raw
754.6,60791.3658,11815.988,519.41974,raw
754.6,60791.3667,11709.42,544.3439,raw
754.6,60797.2809,13017.026,417.61642,raw
754.6,60811.3315,9985.016,920.84937,raw
754.6,60829.1187,8171.6777,537.9918,raw
754.6,60831.1892,6168.7954,611.51764,raw
754.6,60851.1345,4319.4414,633.6193,raw
754.6,60858.1844,3184.3577,510.94327,raw
754.6,60868.1372,2835.968,748.01483,raw
754.6,60868.1623,3909.9866,867.67883,raw
754.6,60889.9816,3067.7466,620.8304,raw
754.6,60890.0022,3185.9941,635.5424,raw
754.6,60900.0055,2173.8918,330.96588,raw
754.6,60903.9833,1996.453,370.66492,raw
754.6,60904.0077,2476.3374,481.9113,raw
754.6,60914.989,2311.306,384.56168,raw
622.3,60790.2247,11740.359,340.0082,raw
622.3,60790.2251,11146.905,333.64212,raw
622.3,60791.3178,11680.885,244.75537,raw
622.3,60791.342,11505.99,303.2236,raw
622.3,60791.3429,11530.606,312.45975,raw
622.3,60797.2329,11803.967,348.03992,raw
622.3,60797.2352,11544.796,339.5389,raw
622.3,60797.2572,11817.21,347.95685,raw
622.3,60823.2508,3409.5317,355.0181,raw
622.3,60827.2326,3589.8562,353.94437,raw
622.3,60849.1557,2660.4238,334.3336,raw
622.3,60851.1105,2361.4846,517.0327,raw
622.3,60876.0643,2150.9502,363.65274,raw
622.3,60876.1424,2226.9346,420.7767,raw
622.3,60903.9725,1212.938,339.33173,raw
622.3,60914.0204,1530.4001,269.8093,raw
622.3,60914.0209,1280.4163,277.4984,raw
622.3,60914.9783,1537.9407,289.21317,raw
622.3,60915.0177,1177.1034,305.26398,raw
869.1,60809.33,7571.405,1134.3497,raw
869.1,60811.3552,8706.675,1078.4846,raw
869.1,60829.1425,7635.8853,773.5837,raw
869.1,60858.1607,5473.918,756.56384,raw
869.1,60867.113,4859.583,1128.002,raw
869.1,60868.1135,3735.195,950.31024,raw
869.1,60868.186,5308.4614,1314.0459,raw
869.1,60890.026,3217.333,743.3489,raw
869.1,60900.0294,3963.357,542.48816,raw
869.1,60904.0316,4008.5806,775.364,raw
971.2,60780.3138,5333.076603509886,660.0142550897809,gp
971.2,60780.60713232324,5356.535915981229,655.9716962220798,gp
971.2,60780.90046464647,5380.092382599738,652.7024170062252,gp
971.2,60781.1937969697,5403.74198547545,650.185140941042,gp
971.2,60781.48712929293,5427.480703137973,648.396013323772,gp
971.2,60781.78046161617,5451.304515117879,647.3088454998222,gp
971.2,60782.073793939395,5475.209401721482,646.8953865314836,gp
971.2,60782.36712626263,5499.191343811124,647.1256202374387,gp
971.2,60782.66045858586,5523.246322576244,647.9680784047438,gp
971.2,60782.953790909094,5547.370319313573,649.3901610075695,gp
971.2,60783.24712323233,5571.559315202756,651.3584547759717,gp
971.2,60783.54045555556,5595.809291081818,653.8390423512728,gp
971.2,60783.83378787879,5620.116227227338,656.7977954410312,gp
971.2,60784.12712020202,5644.4761031241815,660.2006467253306,gp
971.2,60784.42045252526,5668.884897249256,664.0138366689308,gp
971.2,60784.713784848485,5693.338586841095,668.2041327505419,gp
971.2,60785.00711717172,5717.833147679647,672.7390198792818,gp
971.2,60785.30044949495,5742.364553860345,677.5868618546415,gp
971.2,60785.593781818185,5766.928777573776,682.7170346338714,gp
971.2,60785.88711414142,5791.521788875631,688.1000328688235,gp
971.2,60786.18044646465,5816.139555465199,693.7075516919917,gp
971.2,60786.473778787884,5840.778042463617,699.5125460608912,gp
971.2,60786.76711111111,5865.433212183472,705.4892701505482,gp
971.2,60787.06044343435,5890.1010239077295,711.6132993460396,gp
