#band: central wavelength of the passband of the observation in nm
#mjd: time of the observation as modified julian date in days
#fluxcal: simulated observed flux (from SNANA)
#fluxcalerr: error of fluxcal
#processing: which processing was done to get the datapoint
band,mjd,fluxcal,fluxcalerr,processing
473,56950.113,77.55687,3.3642313,raw
473,56957.129,365.96133,5.583983,raw
473,56963.255,256.70486,8.495558,raw
473,56973.143,117.32623,2.3305311,raw
473,56980.207,75.63613,1.8022832,raw
473,56987.208,36.52926,2.1256075,raw
473,56990.208,31.098312,2.6691806,raw
473,57005.241,17.8235,3.5722034,raw
473,57018.184,12.550653,3.1089985,raw
784,56949.35,81.806305,2.0601227,raw
784,56956.314,213.19,3.173641,raw
784,56960.303,178.25659,4.280557,raw
784,56966.129,138.70729,4.801474,raw
784,56973.244,91.958786,2.2879539,raw
784,56980.233,88.946045,2.0208886,raw
784,56987.233,30.561226,2.0056376,raw
784,56990.234,40.58219,6.1379275,raw
784,57001.2,44.45427,2.5262587,raw
784,57008.04,22.441305,2.5025856,raw
642,56950.122,117.19621,2.7883954,raw
642,56957.147,264.63,3.19937,raw
642,56963.264,215.8723,10.715147,raw
642,56973.152,120.1944,2.2123039,raw
642,56980.217,67.08708,1.6835608,raw
642,56990.217,43.45652,2.6612034,raw
642,57005.25,19.142498,2.536133,raw
642,57032.105,9.3678875,2.5522463,raw
926,56956.156,188.25266,2.60209,raw
926,56961.31,152.5415,4.241864,raw
926,56966.229,116.34852,4.22458,raw
926,56973.268,94.815056,2.6315866,raw
926,56980.256,74.48052,2.459607,raw
926,56987.257,20.766073,2.9269516,raw
926,56990.257,59.87517,10.18629,raw
926,56992.076,33.828075,3.4742765,raw
926,57001.24,47.67016,4.413048,raw
926,57008.064,14.445383,3.2219636,raw
926,57012.244,33.001965,5.0811024,raw
926,57019.147,21.963898,3.3032966,raw
473,56950.113,77.7164300798253,3.36252782880385,gp
473,56950.80058585858,104.2910401587245,14.27834257307203,gp
473,56951.48817171717,134.45224521003678,25.0491640883815,gp
473,56952.17575757576,167.03275393690862,32.84886232040998,gp
473,56952.86334343434,200.90776989470436,37.53556352169482,gp
473,56953.55092929293,234.953218936913,39.09166089444056,gp
473,56954.23851515151,268.0036989244676,37.56100900905577,gp
473,56954.926101010096,298.80913230183864,33.04852646600208,gp
473,56955.61368686869,325.9890722139184,25.749420971394592,gp
473,56956.30127272727,347.98356103683847,16.076742839507606,gp
473,56956.98885858586,362.9993654827966,6.221980579661571,gp
473,56957.67644444444,369.3328741290437,11.493786357237685,gp
473,56958.364030303026,367.80016948537025,21.118472737870764,gp
473,56959.05161616161,360.19057598836315,28.254067030115742,gp
473,56959.7392020202,348.0297461962542,32.28221239686388,gp
473,56960.42678787879,332.62143883158217,33.013714130661576,gp
473,56961.11437373737,315.09000985982556,30.416527627905616,gp
473,56961.801959595956,296.4181959052078,24.61802507915123,gp
473,56962.48954545454,277.48107949727364,16.145397983852654,gp
473,56963.17713131313,259.0770422451632,8.562603238816722,gp
473,56963.86471717172,241.87012029649455,14.901080438082932,gp
473,56964.5523030303,226.01369067441527,25.937648552736263,gp
473,56965.239888888886,211.47602773096395,36.006093876131686,gp
473,56965.92747474747,198.213031377795,44.29504522723293,gp
473,56966.61506060606,186.1704304448726,50.53639781344354,gp
473,56967.30264646465,175.28520179097436,54.602080992682126,gp
473,56967.99023232323,165.48644052955765,56.42522977535771,gp
