flt,mjd,fluxcal,fluxcalerr,processing
g,57252.289,99.58012,5.0440474,raw
g,57256.278,112.92115,7.7108083,raw
g,57257.309,106.539085,5.861124,raw
g,57266.27,137.9926,18.145287,raw
g,57276.354,40.645824,6.157372,raw
g,57277.392,40.044144,3.9713407,raw
g,57302.291,23.46622,3.9659696,raw
g,57311.256,15.75918,3.6995568,raw
g,57329.225,19.454449,6.2625713,raw
g,57331.089,17.18515,3.6858203,raw
g,57339.281,15.56745,4.3303556,raw
g,57345.328,15.480179,4.6559267,raw
i,57252.293,233.08139,9.481834,raw
i,57256.283,262.217,12.492536,raw
i,57257.313,268.242,8.84085,raw
i,57266.275,326.8713,11.356894,raw
i,57276.358,276.08292,9.051042,raw
i,57277.397,266.27902,7.449895,raw
i,57284.343,224.54178,15.536859,raw
i,57288.215,190.58907,12.685311,raw
i,57297.178,160.03586,20.462893,raw
i,57302.295,142.41245,7.804756,raw
i,57311.261,128.29156,5.2107787,raw
i,57317.174,108.75175,8.475044,raw
i,57325.202,100.788734,7.838175,raw
i,57329.229,83.57553,8.951432,raw
i,57331.094,89.22072,8.573528,raw
i,57339.286,95.77032,9.019281,raw
i,57345.333,98.344406,9.1756,raw
i,57349.303,75.79195,14.051778,raw
r,57252.291,136.6328,6.5346565,raw
r,57256.281,153.16423,9.003687,raw
r,57257.311,167.74557,6.954586,raw
r,57266.273,254.13455,14.838213,raw
r,57276.356,162.37775,8.497568,raw
r,57277.395,148.03688,5.5137177,raw
r,57284.341,120.6399,9.559733,raw
r,57288.213,89.181915,12.692465,raw
r,57302.293,88.30666,5.7632604,raw
r,57311.259,63.659096,5.134178,raw
r,57315.263,210.50044,65.01249,raw
r,57317.172,63.93208,7.7284803,raw
r,57325.2,60.227627,8.450879,raw
r,57329.227,61.51742,6.6065564,raw
r,57331.092,52.173286,5.5785413,raw
r,57339.284,52.96729,5.5561724,raw
r,57345.331,51.216022,6.7169685,raw
z,57252.296,165.44817,12.381941,raw
z,57256.285,173.0513,14.124363,raw
z,57257.316,203.08871,9.279028,raw
z,57266.277,348.61557,9.620326,raw
z,57276.361,342.01193,10.125966,raw
z,57277.399,343.2634,10.520952,raw
z,57284.345,296.01974,29.712154,raw
z,57288.218,246.30745,14.154242,raw
z,57297.181,171.69032,14.950387,raw
z,57302.298,171.00021,10.060827,raw
z,57311.263,145.69533,5.6232224,raw
z,57317.177,128.98967,8.865994,raw
z,57325.205,109.429474,7.8391194,raw
z,57329.232,121.43128,11.272537,raw
z,57331.096,96.77943,10.449597,raw
z,57339.289,114.94556,11.593864,raw
z,57345.335,116.81963,11.292559,raw
z,57349.306,95.17685,16.09511,raw
g,57252.289,100.59572944605168,4.609190271467459,gp
g,57253.22878787878,102.49862162431128,4.09242712962858,gp
g,57254.168575757576,104.27810883089967,3.880998136559482,gp
g,57255.10836363636,105.86585164232582,3.8303124169530443,gp
g,57256.04815151515,107.19191492502853,3.9117912069181835,gp
g,57256.98793939393,108.19367779368207,4.207968199862137,gp
g,57257.92772727273,108.88174430720761,4.777926202275616,gp
