flt,mjd,fluxcal,fluxcalerr,processing
g,57356.096,425.6395,6.671728,raw
g,57366.054,973.6672,11.118492,raw
g,57373.051,431.06097,13.522814,raw
g,57385.107,169.57343,7.3239183,raw
g,57389.072,167.79231,7.880612,raw
g,57396.059,112.19406,6.751646,raw
g,57403.059,87.03184,7.0462556,raw
g,57427.063,35.371475,9.842855,raw
i,57356.1,497.16568,6.8868394,raw
i,57366.058,1480.2142,9.356062,raw
i,57373.055,1227.0287,10.939025,raw
i,57385.111,540.9948,7.900303,raw
i,57389.076,463.23233,10.606595,raw
i,57396.063,354.94055,10.143688,raw
i,57403.064,262.77765,8.340292,raw
i,57427.068,202.45694,14.984456,raw
r,57356.098,610.6707,6.699839,raw
r,57366.056,1548.5602,10.824981,raw
r,57373.053,1052.6294,11.249183,raw
r,57385.109,484.42654,7.7178955,raw
r,57389.074,426.17233,9.568176,raw
r,57396.061,280.03384,8.8049555,raw
r,57403.062,310.69376,8.1427965,raw
r,57427.066,172.73674,12.9875965,raw
z,57356.103,394.7353,7.623844,raw
z,57366.061,1217.5748,10.262676,raw
z,57373.058,1179.8822,11.264153,raw
z,57385.114,551.6981,9.065614,raw
z,57389.079,376.29144,15.477436,raw
z,57396.066,381.23392,10.608087,raw
z,57403.066,276.84317,8.933456,raw
z,57427.07,139.35353,17.854055,raw
g,57356.096,425.73337629941466,6.670181583997093,gp
g,57356.812838383834,471.8006278660448,34.948711110766986,gp
g,57357.52967676768,521.4165070443196,63.78985220747363,gp
g,57358.24651515151,573.608057547621,87.41447720199902,gp
g,57358.96335353535,627.3949976072388,105.56348483748157,gp
g,57359.68019191919,681.7614004758186,118.15995134022367,gp
g,57360.39703030303,735.6263827133303,125.19608106439982,gp
g,57361.113868686865,787.8132732408222,126.711147025219,gp
g,57361.83070707071,837.0167103639347,122.7872244366766,gp
g,57362.547545454545,881.7670796886476,113.55496245203517,gp
g,57363.26438383838,920.3916625757578,99.21002620590505,gp
g,57363.98122222222,950.9718118733892,80.04731295009566,gp
g,57364.69806060606,971.2954083578707,56.54603281572683,gp
g,57365.4148989899,978.8037766830766,29.78629690970084,gp
g,57366.13173737373,970.5338101305616,11.589660127438462,gp
g,57366.848575757576,944.8150894349102,33.91817179309907,gp
g,57367.56541414141,904.59108942534,55.90173012240123,gp
g,57368.28225252525,853.2866627650023,71.82000762781945,gp
g,57368.99909090909,793.9675055488277,80.95480312456765,gp
g,57369.71592929293,729.4148322153138,83.03657254781074,gp
g,57370.432767676764,662.194706598985,78.00322821956281,gp
g,57371.14960606061,594.7232287163152,65.98096488309658,gp
g,57371.866444444444,529.3287112499414,47.394576840797065,gp
g,57372.58328282828,468.3119312072257,23.9300315567338,gp
g,57373.30012121212,413.98115214924724,17.656024966518356,gp
g,57374.01695959596,367.4107787722511,43.99862765192532,gp
g,57374.733797979796,327.81908381944163,70.61090371440767,gp
g,57375.45063636363,294.3729793139762,94.0545052484597,gp
g,57376.167474747475,266.3356217952785,113.60045713603886,gp
g,57376.88431313131,243.05414565988133,128.90208388529715,gp
g,57377.60115151515,223.94859633392832,139.76574959506434,gp
g,57378.31798989899,208.5018977242362,146.0881766308881,gp
g,57379.03482828283,196.25070239060017,147.83043296238517,gp
g,57379.75166666666,186.77698474606268,145.00712773576967,gp
g,57380.46850505051,179.70024747892023,137.68551175419907,gp
g,57381.18534343434,174.67021942917478,125.99342759563719,gp
g,57381.90218181818,171.3599294425294,110.13723884329414,gp
g,57382.61902020202,169.45904535439763,90.43352425861806,gp
g,57383.33585858586,168.66737026820914,67.36510863837968,gp
g,57384.052696969695,168.6883897342558,41.70651851023556,gp
g,57384.76953535354,169.22276331069855,15.292839469572947,gp
g,57385.486373737374,169.96452713372324,15.094822858258835,gp
g,57386.20321212121,170.64928901290997,31.925177804868202,gp
g,57386.92005050505,171.04398617857424,39.23428866623707,gp
g,57387.63688888889,170.8899364329012,36.23199248918273,gp
g,57388.353727272726,169.89500207539325,23.518006624315408,gp
g,57389.07056565656,167.72709984546597,7.864966182593885,gp
g,57389.787404040406,164.13982116673523,26.49509678789859,gp
g,57390.50424242424,159.36969740951264,47.387244788910344,gp
g,57391.22108080808,153.7410351492164,63.41738415809772,gp
g,57391.93791919192,147.53923186289475,73.37772618611551,gp
g,57392.65475757576,141.01783351440037,76.65980888939666,gp
g,57393.371595959594,134.4049535851198,72.99286303717737,gp
g,57394.08843434344,127.909165104394,62.38600514429896,gp
g,57394.80527272727,121.72496864994618,45.14874586579257,gp
g,57395.52211111111,116.03793226328483,22.15597005062242,gp
g,57396.23894949495,111.02882089260592,10.021311120374422,gp
g,57396.95578787879,106.78640429823336,34.83385580866312,gp
g,57397.672626262625,103.22313763993216,56.14719149676671,gp
g,57398.38946464646,100.23281978231196,71.55670776608044,gp
g,57399.106303030305,97.70920424986684,80.36522772136344,gp
g,57399.82314141414,95.54400306605369,82.1702388368634,gp
g,57400.53997979798,93.62478718068297,76.75196647846397,gp
g,57401.25681818182,91.83275014601416,64.04632372212953,gp
g,57401.97365656566,90.04029916662051,44.17643345522942,gp
