flt_nm,mjd,fluxcal,fluxcalerr,processing
482.7,56915.265,57.128124,8.879414,raw
482.7,56923.315,103.417274,5.8650737,raw
482.7,56927.28,113.84411,5.2269583,raw
482.7,56932.217,134.14899,6.215669,raw
482.7,56943.202,140.55031,9.051536,raw
482.7,56952.118,139.77591,4.510492,raw
482.7,56957.104,146.946,8.268943,raw
482.7,56959.1,143.75266,5.155739,raw
482.7,56964.215,127.25897,10.356043,raw
482.7,56973.183,126.52313,5.584484,raw
482.7,56980.179,115.192276,2.963405,raw
482.7,56987.18,109.55615,3.5296752,raw
482.7,56990.181,95.7564,6.198429,raw
482.7,57001.147,96.09447,14.30168,raw
482.7,57003.043,92.34655,3.571556,raw
482.7,57011.071,80.26979,2.7651494,raw
482.7,57018.043,74.18805,9.383128,raw
482.7,57019.042,61.591965,13.525769,raw
482.7,57021.043,101.89646,10.634722,raw
754.6,56915.269,48.20713,11.307235,raw
754.6,56923.32,52.24795,9.28523,raw
754.6,56927.285,73.35282,7.2308273,raw
754.6,56932.222,88.59357,6.48499,raw
754.6,56943.206,132.20903,7.1475315,raw
754.6,56952.122,187.08142,7.327656,raw
754.6,56957.108,200.97154,11.372965,raw
754.6,56959.105,204.56586,7.5680113,raw
754.6,56964.22,212.325,9.451548,raw
754.6,56973.188,216.26997,5.443704,raw
754.6,56980.183,236.5516,5.5850325,raw
754.6,56990.185,242.01787,17.179104,raw
754.6,57001.151,192.00955,14.833493,raw
754.6,57003.047,191.33014,5.7917867,raw
754.6,57011.075,155.02455,4.966415,raw
754.6,57019.047,130.31458,10.483168,raw
754.6,57021.047,151.87248,9.548313,raw
622.3,56915.267,47.95028,10.108611,raw
622.3,56923.318,74.13389,7.8210144,raw
622.3,56927.283,99.370125,6.593493,raw
622.3,56932.22,131.42645,6.2142024,raw
622.3,56943.204,179.03761,8.033152,raw
622.3,56952.12,196.27274,5.4630337,raw
622.3,56957.106,191.75772,10.45608,raw
622.3,56959.102,195.43077,5.81882,raw
622.3,56964.218,189.09702,8.632752,raw
622.3,56973.185,184.65933,5.4295373,raw
622.3,56980.181,176.01039,4.214218,raw
622.3,56987.182,171.64333,4.46659,raw
622.3,56990.183,173.09613,8.095193,raw
622.3,57001.149,167.60971,12.172692,raw
622.3,57003.045,149.2029,4.6455603,raw
622.3,57011.073,142.9611,3.495109,raw
622.3,57019.045,130.72844,10.930101,raw
622.3,57021.045,130.99498,9.597375,raw
869.1,56927.287,25.201588,8.347203,raw
869.1,56943.209,98.06529,7.0403495,raw
869.1,56957.111,201.99368,14.2092705,raw
869.1,56959.107,207.76945,8.120909,raw
869.1,56964.222,220.91447,10.251491,raw
869.1,56973.19,243.53667,6.4615445,raw
869.1,56980.186,246.72652,7.2567644,raw
869.1,56987.187,221.39932,8.022024,raw
