mjd,fluxcal,flt,fluxcalerr,processing
56943.23,30.282513,g,6.1524467,raw
56949.323,98.95266,g,3.5115724,raw
56956.338,147.95793,g,6.783042,raw
56960.271,142.22934,g,5.6526604,raw
56966.353,108.44596,g,16.28722,raw
56973.315,67.24033,g,7.1966057,raw
56980.317,28.940763,g,2.5687404,raw
56988.029,15.9688,g,4.4788733,raw
57012.082,11.204649,g,2.6318166,raw
56943.234,48.006096,i,5.182074,raw
56949.328,138.90056,i,4.8594146,raw
56956.342,196.4803,i,8.64316,raw
56960.276,227.03578,i,9.42894,raw
56966.357,201.39427,i,16.702942,raw
56973.319,155.3832,i,6.8601856,raw
56980.321,130.1222,i,5.7688847,raw
56988.034,98.063034,i,6.7725644,raw
56991.156,86.09461,i,13.045689,raw
56992.141,81.53737,i,6.6094923,raw
57008.115,44.370262,i,5.49,raw
57012.086,38.48803,i,5.1788483,raw
57018.075,50.983498,i,9.838,raw
57019.075,41.54771,i,7.093974,raw
57026.171,52.251373,i,10.483674,raw
57033.166,25.827837,i,7.539102,raw
57040.179,30.15372,i,5.6337085,raw
57047.091,21.038595,i,5.680512,raw
56943.232,60.156174,r,5.6897006,raw
56949.326,150.16083,r,4.0738335,raw
56956.34,211.69485,r,7.4988356,raw
56960.273,228.9256,r,6.862508,raw
56966.355,195.53996,r,24.844252,raw
56973.317,156.51558,r,6.382856,raw
56980.319,101.38399,r,4.142532,raw
56988.032,59.148373,r,4.7581515,raw
56991.154,57.606163,r,11.244309,raw
56992.139,43.457638,r,7.0589414,raw
57008.113,21.66794,r,3.776958,raw
57012.084,18.179752,r,3.9656456,raw
57018.073,21.783648,r,7.0086684,raw
57033.164,16.490318,r,5.337526,raw
57040.177,11.945677,r,3.7101386,raw
57047.089,15.979438,r,4.1603293,raw
56943.237,58.96479,z,5.2491484,raw
56949.33,128.38756,z,5.8192043,raw
56956.345,182.07649,z,9.746639,raw
56960.278,188.7942,z,11.727019,raw
56966.36,184.27803,z,15.7810755,raw
56973.322,100.46298,z,8.0100975,raw
56980.324,89.90955,z,6.995878,raw
56988.036,85.01938,z,9.10234,raw
56991.158,115.70244,z,16.01242,raw
56992.143,93.153275,z,7.3966317,raw
57001.309,99.815834,z,18.621252,raw
57008.118,58.817966,z,6.5503592,raw
57012.089,52.359978,z,6.5211797,raw
57019.077,41.08856,z,8.772773,raw
57033.169,37.202034,z,10.047887,raw
56943.23,32.296286387834925,g,5.963718343324044,gp
56943.92547474748,39.006931806482896,g,5.766839526347582,gp
56944.62094949495,46.191472451872535,g,6.039825527722211,gp
