flt,mjd,fluxcal,fluxcalerr,processing
Y,60978.2687,15282.227,917.36035,raw
Y,60978.2697,15200.105,849.2479,raw
Y,60980.2387,16688.008,856.0549,raw
Y,60986.3503,18039.02,820.60974,raw
Y,60986.3627,18907.186,1142.3682,raw
Y,61003.3303,11670.174,983.3102,raw
Y,61003.3405,14658.686,894.50464,raw
Y,61008.3213,13027.221,796.9838,raw
Y,61013.3004,12078.013,1285.9983,raw
Y,61015.3013,9612.014,1200.5779,raw
Y,61015.3219,10920.651,1407.5327,raw
Y,61015.332,9342.429,1405.7758,raw
Y,61016.306,8784.061,953.5207,raw
Y,61043.209,6987.3003,887.5869,raw
Y,61043.2316,6262.4653,963.58624,raw
Y,61043.2581,6662.605,1080.4778,raw
Y,61044.1963,5629.3804,864.4401,raw
Y,61044.2188,5578.3867,686.0826,raw
Y,61045.2192,5046.423,1016.80194,raw
Y,61045.2201,6425.2007,1042.0348,raw
Y,61061.2435,4968.903,1447.3597,raw
Y,61061.2661,7838.916,1269.7474,raw
Y,61068.2007,5392.38,1405.5203,raw
Y,61096.196,5130.413,1638.1681,raw
Y,61099.1237,5702.4067,1540.9423,raw
Y,61102.1421,5875.8833,1757.6672,raw
Y,61114.0149,3080.207,876.8645,raw
g,60968.3019,3420.7102,142.96684,raw
g,60974.2499,6326.85,223.52196,raw
g,60975.2105,6674.5234,311.7713,raw
g,61003.097,1153.6476,279.9495,raw
g,61017.105,898.55054,191.19434,raw
g,61023.1682,1231.197,156.8934,raw
g,61057.1829,618.8455,199.53188,raw
g,61063.1595,610.38794,191.93045,raw
i,60966.2697,4643.7935,392.54248,raw
i,60972.2531,12369.844,345.75577,raw
i,60987.3432,18249.193,436.8983,raw
i,60990.348,18177.63,358.96194,raw
i,60991.2122,17666.334,376.56427,raw
i,60995.3388,14949.764,318.66977,raw
i,60999.3512,12764.407,438.34793,raw
i,60999.3525,12228.542,455.97006,raw
i,61007.3365,8154.1973,395.03223,raw
i,61016.3385,7431.923,553.7713,raw
i,61017.1727,7234.894,307.1543,raw
i,61028.3276,5450.403,475.60608,raw
i,61031.2724,5626.4316,332.80457,raw
i,61034.2625,5110.198,312.17294,raw
i,61034.2769,4564.2207,390.8914,raw
i,61039.0562,4520.064,322.67615,raw
i,61041.2676,4902.59,978.7413,raw
i,61041.268,5005.429,1024.181,raw
i,61050.196,3608.4731,363.3109,raw
i,61052.1801,3993.8987,339.62106,raw
i,61062.1851,3389.6694,298.046,raw
i,61062.1855,3236.8953,301.15686,raw
i,61063.2112,3521.6897,334.4008,raw
i,61067.2106,3512.0774,286.93796,raw
i,61073.2058,2509.2737,631.62555,raw
i,61075.1479,2846.3381,411.0327,raw
i,61076.22,2087.7083,600.4718,raw
i,61088.141,2119.2612,392.47714,raw
i,61088.1414,2754.6306,406.9133,raw
i,61095.0865,2315.9944,380.4548,raw
i,61095.1492,1855.861,436.21573,raw
i,61098.1166,2454.6736,547.10706,raw
i,61099.0377,2644.1655,457.9276,raw
i,61106.1158,2508.5127,512.8563,raw
i,61115.0858,1746.437,407.25812,raw
i,61118.0379,2155.7197,361.97424,raw
i,61121.0794,1484.8048,404.3728,raw
i,61121.0974,2232.95,391.9395,raw
r,60966.2447,2817.82,370.7542,raw
r,60972.2775,8870.637,249.57559,raw
r,60972.3724,8908.9795,266.0218,raw
r,60972.3728,9212.376,262.0774,raw
r,60972.3747,8835.865,277.88522,raw
r,60973.3682,10013.284,280.503,raw
r,60973.3696,10467.918,287.10382,raw
r,60974.2746,10309.721,276.17264,raw
r,60975.235,11157.856,382.56274,raw
r,60990.2266,7974.6675,293.6555,raw
r,60991.1871,7452.407,297.435,raw
r,60995.3528,5884.331,270.7183,raw
r,61003.1209,3692.1274,259.1128,raw
r,61005.2105,3388.957,304.4389,raw
r,61017.1292,1400.3097,265.48914,raw
r,61017.1479,1794.8612,265.2607,raw
r,61023.1209,2401.7778,207.05817,raw
r,61025.0917,2013.5266,216.42342,raw
r,61028.3164,2333.7405,376.97723,raw
r,61030.1346,1728.4681,251.62488,raw
r,61031.2485,2203.7031,214.0668,raw
r,61034.2384,1993.8427,201.25702,raw
r,61034.2529,2103.4592,208.97462,raw
r,61052.1562,1906.5142,223.65868,raw
r,61056.2708,1392.3505,272.02136,raw
r,61057.1551,1462.5503,245.46078,raw
r,61057.1586,1465.3875,255.9607,raw
r,61062.1605,1405.8015,230.27448,raw
r,61062.161,1258.1442,232.03163,raw
r,61063.1835,1679.3661,224.99803,raw
r,61063.1871,1599.5266,239.88821,raw
r,61081.1107,1019.8326,192.68385,raw
r,61082.2093,1299.6758,321.52383,raw
r,61088.1649,1606.9497,350.3142,raw
r,61088.1653,1177.5795,359.9584,raw
r,61115.0618,823.45557,259.5536,raw
r,61121.0554,1059.9923,262.13644,raw
z,60977.3541,16324.626,505.61185,raw
z,60977.3545,15688.625,505.08194,raw
z,60977.3624,15838.305,511.43817,raw
z,60978.2445,17330.246,553.38257,raw
z,60978.2455,16551.61,563.3937,raw
z,60980.214,19227.303,526.29193,raw
z,60980.2198,19226.63,455.9699,raw
z,60987.3569,19324.375,653.2432,raw
z,60990.3603,17685.393,649.4419,raw
