flt,mjd,fluxcal,fluxcalerr,processing
g,56602.133,335.82306,2.3601682,raw
g,56607.069,448.01633,10.345608,raw
g,56617.043,575.29706,4.2051578,raw
g,56625.224,574.43243,3.2115803,raw
g,56629.052,549.1838,6.016606,raw
g,56635.258,488.7621,4.597142,raw
g,56646.067,358.66055,3.4124117,raw
g,56653.062,295.14563,4.850988,raw
g,56660.131,237.7655,2.3741724,raw
g,56667.144,180.04689,4.807566,raw
g,56676.081,114.00638,5.753443,raw
g,56683.067,108.43265,2.5621188,raw
g,56687.145,98.7486,4.0406976,raw
i,56602.276,294.8847,3.0884569,raw
i,56607.276,353.4843,3.7133145,raw
i,56611.287,364.17682,4.148426,raw
i,56615.23,393.42734,4.3465614,raw
i,56625.281,450.06418,3.3101766,raw
i,56629.123,438.0488,5.3433094,raw
i,56636.128,442.84778,3.1935332,raw
i,56645.15,381.1746,3.1599152,raw
i,56649.183,384.38687,3.1531053,raw
i,56656.061,351.37292,2.1457326,raw
i,56661.17,303.79416,3.4621887,raw
i,56668.143,313.834,3.7549293,raw
i,56675.175,249.64183,4.8799915,raw
i,56682.156,232.70665,2.973793,raw
i,56690.089,21.591726,1.9290133,raw
r,56602.3,263.954,2.4525397,raw
r,56607.302,335.01462,4.01462,raw
r,56611.323,417.37308,5.107871,raw
r,56615.254,441.11816,5.5394716,raw
r,56627.145,509.02863,2.313184,raw
r,56635.198,439.9139,3.1055105,raw
r,56648.209,370.85358,3.1851668,raw
r,56655.05,337.9015,2.033192,raw
r,56662.06,332.72504,2.0035362,raw
r,56668.179,286.57364,4.4482083,raw
r,56675.199,206.47057,7.400232,raw
r,56683.109,207.2656,2.389912,raw
r,56687.157,175.94897,3.9961345,raw
z,56602.154,255.60327,2.6735506,raw
z,56607.213,310.94238,5.0216227,raw
z,56611.223,340.98798,3.389066,raw
z,56615.159,362.14502,5.685492,raw
z,56625.234,384.147,3.0487792,raw
z,56629.076,392.27066,4.814639,raw
z,56636.056,378.06766,2.8834844,raw
z,56641.075,367.78854,3.431077,raw
