flt_nm,mjd,fluxcal,fluxcalerr,processing
482.7,57325.008,128.27148,7.969276,raw
482.7,57325.023,133.84229,5.7577496,raw
482.7,57329.015,203.08438,8.270206,raw
482.7,57329.028,227.05159,8.640868,raw
482.7,57334.188,299.69928,9.054839,raw
482.7,57334.224,324.05505,12.492627,raw
482.7,57339.019,188.1209,8.649454,raw
482.7,57340.063,176.3916,7.493595,raw
482.7,57342.021,135.60785,5.533594,raw
482.7,57344.034,80.26726,21.048624,raw
482.7,57347.076,71.220604,7.3816214,raw
482.7,57355.142,46.580074,7.8730783,raw
482.7,57356.12,33.831947,3.3908613,raw
482.7,57365.036,27.414421,4.301876,raw
482.7,57366.039,30.333723,3.6952963,raw
482.7,57373.036,31.985872,9.947289,raw
482.7,57385.092,18.48319,4.731871,raw
482.7,57389.057,22.373062,4.301694,raw
482.7,57394.057,13.4141245,4.326258,raw
754.6,57325.014,197.56686,8.191043,raw
754.6,57325.027,186.16171,7.071193,raw
754.6,57329.019,310.37036,8.880594,raw
754.6,57329.033,306.64294,8.7492285,raw
754.6,57334.192,524.80927,6.9030385,raw
754.6,57334.228,533.4708,8.830645,raw
754.6,57339.023,594.3288,11.274628,raw
754.6,57340.068,563.31354,7.404639,raw
754.6,57342.026,493.07452,33.291573,raw
754.6,57344.038,442.3425,6.964579,raw
754.6,57347.081,351.89725,8.424704,raw
754.6,57355.146,210.19138,7.2718754,raw
754.6,57356.125,214.82634,5.582609,raw
754.6,57365.041,145.83182,6.4357014,raw
754.6,57366.043,138.0201,6.175573,raw
754.6,57372.036,109.073135,7.499028,raw
754.6,57373.04,95.04797,10.951659,raw
754.6,57376.044,109.96801,15.63013,raw
754.6,57379.048,101.99998,9.501949,raw
754.6,57385.097,91.90346,6.885993,raw
754.6,57386.046,88.79429,7.9461074,raw
754.6,57389.062,115.86459,7.825188,raw
754.6,57394.061,81.03012,8.171943,raw
754.6,57396.049,79.9989,7.9538803,raw
754.6,57400.105,67.83525,10.733785,raw
754.6,57403.049,60.596485,7.1118817,raw
754.6,57407.046,84.78355,9.142741,raw
622.3,57325.012,212.6244,7.083921,raw
622.3,57325.025,189.29517,6.382415,raw
622.3,57329.017,316.6251,9.802374,raw
622.3,57329.031,332.14212,8.975906,raw
622.3,57334.19,523.3046,10.951984,raw
622.3,57334.226,522.12866,8.712821,raw
622.3,57339.021,483.55273,13.763227,raw
622.3,57340.066,463.73026,7.7117686,raw
622.3,57342.024,407.29947,6.930887,raw
622.3,57344.036,336.94388,9.92865,raw
622.3,57347.079,251.88841,10.827397,raw
622.3,57355.144,153.88016,7.7873583,raw
622.3,57356.122,138.11427,4.5201774,raw
622.3,57365.039,99.42903,5.420368,raw
622.3,57366.041,105.624374,4.7449226,raw
622.3,57372.034,75.055786,11.023037,raw
622.3,57373.038,86.53015,8.742753,raw
622.3,57376.042,61.224155,13.4615135,raw
622.3,57379.046,92.98829,9.711633,raw
622.3,57385.095,74.08364,5.8077307,raw
622.3,57386.044,71.56431,5.5761304,raw
622.3,57389.06,72.07856,5.6228986,raw
622.3,57394.059,53.633423,5.5251803,raw
622.3,57396.047,46.735847,5.8471723,raw
622.3,57400.103,56.328045,8.207703,raw
622.3,57403.047,50.923508,5.829336,raw
622.3,57407.044,65.34644,9.322413,raw
869.1,57325.017,160.57043,10.7432375,raw
869.1,57325.03,141.19202,10.279512,raw
869.1,57329.022,255.95941,12.807157,raw
869.1,57329.036,241.82034,12.784283,raw
869.1,57334.195,414.66818,12.821883,raw
869.1,57334.231,433.8272,10.001812,raw
869.1,57339.026,539.0705,17.440302,raw
869.1,57340.071,527.56976,11.786934,raw
869.1,57342.028,489.99832,13.979398,raw
869.1,57344.041,411.83658,11.967447,raw
869.1,57347.084,340.45322,9.686996,raw
869.1,57355.149,221.03072,8.905269,raw
869.1,57356.127,226.98003,7.5058393,raw
869.1,57365.043,148.02591,7.1908407,raw
869.1,57366.046,148.289,8.130396,raw
869.1,57372.038,136.89209,7.438323,raw
869.1,57373.043,99.854485,11.691538,raw
869.1,57376.047,133.50539,16.444977,raw
869.1,57379.051,118.601746,9.914656,raw
869.1,57385.1,116.019806,8.567058,raw
869.1,57386.049,102.355995,9.595679,raw
869.1,57389.064,86.023186,11.347443,raw
869.1,57394.064,99.67336,9.163157,raw
869.1,57396.052,89.07973,11.053375,raw
869.1,57400.108,79.321236,12.193025,raw
869.1,57403.052,100.50121,8.56261,raw
869.1,57407.049,78.60085,8.537407,raw
482.7,57325.008,131.85135347636697,4.646315158997252,gp
482.7,57325.70546464647,144.1021324197532,6.52873583288529,gp
482.7,57326.40292929293,157.33985146884717,8.945491188060856,gp
482.7,57327.10039393939,171.54666563787592,9.703257146429202,gp
482.7,57327.79785858586,186.7104763080241,8.727307262834815,gp
482.7,57328.495323232324,202.82398191037262,6.685471199652811,gp
482.7,57329.19278787879,219.8786288886406,5.997417215880025,gp
482.7,57329.890252525256,237.52220402761614,8.322942270585072,gp
482.7,57330.58771717172,254.8785917492893,10.883778333436037,gp
482.7,57331.28518181818,271.0165312048977,12.386799328375098,gp
482.7,57331.98264646465,284.97304644262204,12.490703433848601,gp
482.7,57332.68011111111,295.73840669971463,11.216260596009324,gp
482.7,57333.37757575758,302.240516900328,8.974047019869593,gp
482.7,57334.075040404045,303.3285633557306,7.141518214940366,gp
482.7,57334.7725050505,297.9778150642996,8.059323979782917,gp
482.7,57335.46996969697,286.9073951615234,10.283786075826649,gp
482.7,57336.167434343435,271.64820754818663,11.854787085697831,gp
482.7,57336.8648989899,253.65997047369353,12.161899440409284,gp
482.7,57337.56236363637,234.34755695777778,11.140452641650898,gp
482.7,57338.25982828283,215.0826354579679,9.080626782266942,gp
482.7,57338.95729292929,197.22489370375015,6.803998953830962,gp
482.7,57339.65475757576,181.74696749308887,5.6173715224272165,gp
482.7,57340.352222222224,167.59490997399982,5.531329537418102,gp
482.7,57341.04968686869,153.74543177028522,5.570932903970579,gp
482.7,57341.747151515156,140.03801551332265,5.041502248577627,gp
482.7,57342.444616161614,126.39566161734652,5.934578909983637,gp
482.7,57343.14208080808,113.24578098173451,8.09601277756515,gp
482.7,57343.839545454546,101.40197182441061,9.837268690558865,gp
482.7,57344.53701010101,91.6215731235278,10.782874789294167,gp
482.7,57345.23447474748,83.92975224770248,10.660383545274172,gp
482.7,57345.931939393944,77.95586962054661,9.34911893936254,gp
482.7,57346.6294040404,73.34546471737312,7.513223533017157,gp
482.7,57347.32686868687,69.76109060352752,7.649215420231083,gp
482.7,57348.024333333335,66.93515900129475,10.77621117968779,gp
482.7,57348.7217979798,64.69234976970309,14.508720787816655,gp
482.7,57349.41926262627,62.86891847381231,17.71621761327072,gp
482.7,57350.116727272725,61.30379005958966,19.991619954651604,gp
482.7,57350.81419191919,59.83628789824492,21.1617072653122,gp
482.7,57351.51165656566,58.303854716638995,21.16141124643746,gp
482.7,57352.20912121212,56.53974057874807,19.999372701842752,gp
482.7,57352.90658585859,54.370632701063684,17.75271156176669,gp
482.7,57353.604050505055,51.61420125568727,14.580190993713497,gp
482.7,57354.301515151514,48.07653443356645,10.76379460585934,gp
482.7,57354.99897979798,43.549434899869325,6.833651732476237,gp
482.7,57355.696444444446,37.977810432704175,3.770032338513095,gp
482.7,57356.39390909091,32.54941771925074,4.249070712249699,gp
482.7,57357.09137373738,28.235679207167067,8.60500300973589,gp
482.7,57357.788838383836,24.96857121200826,13.05572508550028,gp
482.7,57358.4863030303,22.62132051224366,16.82388659241652,gp
482.7,57359.18376767677,21.079335193935055,19.635329810893563,gp
482.7,57359.881232323234,20.238645860399906,21.347810563721286,gp
482.7,57360.5786969697,20.00445954369619,21.892744237378807,gp
482.7,57361.276161616166,20.289810668773757,21.259007368840088,gp
482.7,57361.973626262625,21.01429435341965,19.490443228676202,gp
482.7,57362.67109090909,22.102868114431768,16.69344523845115,gp
482.7,57363.36855555556,23.484708701993227,13.059727869338905,gp
482.7,57364.06602020202,25.092111304994624,8.929392722245707,gp
482.7,57364.76348484849,26.85941876525776,5.0322460974470316,gp
482.7,57365.46094949495,28.711643461835823,3.1702921639155393,gp
482.7,57366.15841414141,30.42481110972422,3.828638990547008,gp
482.7,57366.85587878788,31.765375264655273,7.318427854429971,gp
482.7,57367.553343434345,32.74664048772212,11.211511592788447,gp
482.7,57368.25080808081,33.41293602755406,14.491920521005593,gp
482.7,57368.94827272728,33.80218578088163,16.761787800465633,gp
482.7,57369.645737373736,33.94643014975656,17.816930463984193,gp
482.7,57370.3432020202,33.872276334977805,17.57161788539714,gp
482.7,57371.04066666667,33.60128195642349,16.060314064489067,gp
482.7,57371.73813131313,33.150276204309435,13.521854711671914,gp
482.7,57372.4355959596,32.531622079488464,10.733819610221197,gp
482.7,57373.13306060606,31.75343867787351,9.865717584024239,gp
482.7,57373.830525252524,30.8284626940742,12.69445087449067,gp
482.7,57374.52798989899,29.788703297617037,17.165192969439776,gp
482.7,57375.225454545456,28.66660415429798,21.745499354788308,gp
482.7,57375.92291919192,27.491785890410412,25.857863062163837,gp
482.7,57376.62038383839,26.291542559887276,29.255287348064236,gp
482.7,57377.31784848485,25.091306737193317,31.811982973980406,gp
482.7,57378.01531313131,23.915088600968012,33.45838902132729,gp
482.7,57378.71277777778,22.785894092342104,34.15743519045877,gp
482.7,57379.410242424245,21.726126999980607,33.89475702559245,gp
482.7,57380.10770707071,20.75797964256756,32.67484621256872,gp
482.7,57380.80517171717,19.903816684019752,30.520573168155803,gp
482.7,57381.502636363635,19.186556526842494,27.475516260575763,gp
482.7,57382.2001010101,18.63005468473464,23.609917156259012,gp
482.7,57382.89756565657,18.2594935339444,19.03380629320259,gp
482.7,57383.59503030303,18.101782886636286,13.931551860194727,gp
482.7,57384.2924949495,18.185975916645145,8.698455111248675,gp
482.7,57384.98995959596,18.54370510038233,4.854321466709769,gp
482.7,57385.687424242424,19.190023698684914,6.031734402473961,gp
482.7,57386.38488888889,20.020735638485867,8.355368549186014,gp
482.7,57387.082353535356,20.886197827257025,9.14012173677968,gp
482.7,57387.77981818182,21.636096472861272,8.097817753090599,gp
482.7,57388.47728282828,22.117287651481657,5.659744469603775,gp
482.7,57389.174747474746,22.171735142892068,4.3623520347195255,gp
482.7,57389.87221212121,21.70984919768864,7.114981489325877,gp
482.7,57390.56967676768,20.818301317590425,10.094625668280873,gp
482.7,57391.267141414144,19.60389009958537,11.81633602811817,gp
482.7,57391.96460606061,18.167538047200992,11.886785209382742,gp
482.7,57392.66207070707,16.605841970695074,10.189205358673693,gp
482.7,57393.359535353535,15.012571758986956,6.921605723969876,gp
482.7,57394.057,13.480134346142687,4.307984395267475,gp
754.6,57325.014,190.6796496307728,5.328779464319002,gp
754.6,57325.84260606061,210.55152436275173,7.40324028008542,gp
754.6,57326.67121212122,232.4930857357034,9.612805389864242,gp
754.6,57327.49981818182,256.94257086056166,9.450461029330823,gp
754.6,57328.32842424243,284.3527151123717,7.372372242320113,gp
754.6,57329.15703030303,315.1925589265791,6.169251905612279,gp
754.6,57329.98563636364,349.4632396620398,8.687489815580923,gp
754.6,57330.81424242425,385.9184677271071,11.271327630370065,gp
754.6,57331.64284848485,423.12007784289,12.161726889421214,gp
754.6,57332.471454545455,459.6304737360277,10.995820891431492,gp
754.6,57333.30006060607,494.0022991398573,8.071448369016357,gp
754.6,57334.12866666667,524.7680498348701,5.370236514796373,gp
754.6,57334.957272727275,550.5213332434622,7.43204932375006,gp
754.6,57335.78587878788,570.5418171273384,10.602319814220627,gp
754.6,57336.61448484849,584.3821571277234,12.239020270383895,gp
754.6,57337.443090909095,591.5465259644118,11.928174106187733,gp
754.6,57338.2716969697,591.4862608290747,9.93582170879331,gp
754.6,57339.1003030303,583.5964946972259,7.329417201056765,gp
754.6,57339.928909090915,567.9987927822596,6.14484711137205,gp
754.6,57340.75751515152,547.0180074489195,7.553473937060731,gp
754.6,57341.58612121212,522.5629577528398,9.088304611905295,gp
754.6,57342.41472727273,496.16394380048376,9.135960584494065,gp
