hyperparameters,epoch,loss_tr,loss_va,duration
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",0,563.7652705677768,554.00255,0.38978099822998047
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",1,563.7273955763432,553.963,0.39656758308410645
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",2,563.6881296258224,553.92365,0.5773138999938965
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",3,563.6469694438733,553.88435,0.4808337688446045
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",4,563.6082860043174,553.8452,0.49042606353759766
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",5,563.5671119020697,553.80605,0.49689316749572754
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",6,563.5269625479715,553.76705,0.36950206756591797
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",7,563.4891389545642,553.72815,0.3663811683654785
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",8,563.4495614035088,553.6894,0.3589494228363037
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",9,563.4083069918448,553.6507,0.35042405128479004
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",10,563.3699083830181,553.6122,0.4232931137084961
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",11,563.3324402926261,553.5738,0.34995508193969727
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",12,563.2922020627741,553.5355,0.357684850692749
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",13,563.2545101768092,553.4973,0.3722727298736572
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",14,563.2160248338131,553.4593,0.35832667350769043
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",15,563.1784753632127,553.4214,0.3568718433380127
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",16,563.1382360625686,553.3836,0.3619050979614258
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",17,563.0982002124451,553.3459,0.3580746650695801
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",18,563.0615801894874,553.30835,0.36676502227783203
"{'dhidden': 4, 'batchsize': 1024, 'lr': 0.0}",19,563.0238026401453,553.2709,0.3663458824157715
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",0,559.084447372815,558.021,7.094979524612427
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",1,556.9667958330555,555.9535,6.610620498657227
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",2,554.9747301754426,554.0221,7.0036139488220215
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",3,553.1109490851206,552.2224,7.954990863800049
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",4,551.3655145441128,550.52745,10.26173186302185
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",5,549.6912747207849,548.8696,7.598589897155762
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",6,548.0212175720817,547.1899,6.547668695449829
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",7,546.3209312685206,545.47575,6.944812297821045
"{'dhidden': 4, 'batchsize': 16, 'lr': 0.0}",8,544.5854770419247,543.72545,6.810804843902588
