name,band,wavelength,plot_color,plot_marker,plot_ls,mission,source
LSST u,u,367.1,#0c71ff,o,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
LSST g,g,482.7,#49be61,^,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
LSST r,r,622.3,#c61c00,v,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
LSST i,i,754.6,#ffc200,s,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
LSST z,z,869.1,#f341a2,*,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
LSST y,y,971.2,#5d0000,p,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
OGLE V,V,550.0,tab:green,p,-,ogle,""
OGLE I,I,810.0,tab:red,p,-,ogle,""
DES g,g,473.0,#49be61,^,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES r,r,642.0,#c61c00,v,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES i,i,784.0,#ffc200,s,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES z,z,926.0,#f341a2,*,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES Y,Y,1009.0,#5d0000,p,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
